"b","MixedProduct","SideLength"
0.5,4.764511,-27235.906
0.502,4.8025293,-26905.625
0.504,4.841196,-26577.281
0.506,4.880547,-26250.844
0.508,4.9206047,-25926.312
0.51,4.9613633,-25603.625
0.512,5.002876,-25282.844
0.514,5.0450826,-24964.188
0.516,5.0881433,-24647.312
0.518,5.1320105,-24332.344
0.52,5.176661,-24019.219
0.522,5.2222095,-23708.125
0.524,5.268605,-23398.938
0.526,5.3159657,-23091.688
0.528,5.364215,-22786.438
0.53,5.413431,-22483.156
0.532,5.463742,-22181.719
0.534,5.51503,-21882.188
0.536,5.5673966,-21584.688
0.538,5.62088,-21289.188
0.54,5.6754956,-20995.688
0.542,5.731303,-20704.094
0.544,5.788362,-20414.5
0.546,5.8466854,-20126.938
0.548,5.906268,-19841.375
0.55,5.967288,-19557.781
0.552,6.029669,-19276.25
0.554,6.093541,-18996.75
0.556,6.1588745,-18719.312
0.55799997,6.22585,-18443.875
0.56,6.2944508,-18170.438
0.562,6.3647194,-17899.25
0.564,6.436776,-17630.031
0.566,6.510629,-17362.969
0.568,6.586416,-17098.062
0.57,6.664178,-16835.188
0.572,6.743979,-16574.594
0.574,6.8259306,-16316.0625
0.576,6.91012,-16059.8125
0.578,6.996639,-15805.781
0.58,7.0855894,-15554.0625
0.582,7.177091,-15304.406
0.584,7.271219,-15057.156
0.586,7.3680863,-14812.3125
0.588,7.467879,-14569.8125
0.59000003,7.5706987,-14329.6875
0.592,7.6766796,-14091.969
0.594,7.785919,-13856.8125
0.596,7.89874,-13624.125
0.598,8.015124,-13394.0625
0.6,8.135329,-13166.75
0.602,8.259627,-12942.0
0.604,8.388088,-12720.0625
0.606,8.521089,-12500.9375
0.608,8.658711,-12284.656
0.61,8.801306,-12071.594
0.612,8.949104,-11861.5625
0.614,9.10247,-11654.656
0.616,9.261687,-11451.281
0.61800003,9.427013,-11251.219
0.62,9.598977,-11054.875
0.622,9.777854,-10862.156
0.624,9.964141,-10673.5
0.626,10.158339,-10489.031
0.628,10.360943,-10308.8125
0.63,10.572417,-10133.375
0.63199997,10.793488,-9962.875
0.634,11.024824,-9797.5625
0.63600004,11.267093,-9637.8125
0.638,11.521258,-9484.094
0.64,11.78797,-9336.906
0.642,12.068513,-9196.5625
0.644,12.363821,-9063.906
0.646,12.675009,-8939.531
0.648,13.003645,-8824.1875
0.65,13.350948,-8718.9375
0.652,13.718918,-8624.75
0.654,14.10932,-8542.75
0.656,14.524372,-8474.531
0.658,14.9664135,-8421.781
0.65999997,15.43801,-8386.5
0.662,15.94287,-8370.906
0.66400003,16.483967,-8378.156
0.666,17.06607,-8411.25
0.668,17.693724,-8474.625
0.67,18.3726,-8573.1875
0.672,19.109127,-8713.125
0.674,19.911325,-8902.0625
0.676,20.788494,-9149.3125
0.678,21.751656,-9467.0
0.68,22.81448,-9870.531
0.682,23.992847,-10379.25
0.684,25.307875,-11019.125
0.686,26.784012,-11824.125
0.68799996,28.453215,-12840.031
0.69,30.357483,-14130.281
0.69200003,32.548992,-15782.531
0.694,35.099598,-17924.094
0.696,38.105824,-20741.75
0.698,41.702473,-24520.75
0.7,46.083817,-29712.969
0.702,51.53792,-37065.875
0.704,58.51711,-47895.5
0.706,67.767395,-64683.03
0.708,80.61673,-92573.03
0.71,99.67777,-143686.03
0.712,130.90253,-252476.94
0.714,191.4145,-551728.75
0.716,358.936,-1988036.5
0.718,3089.5283,-1.51278688E8
0.72,-462.1047,-3482571.5
0.722,-213.75208,-767951.06
0.724,-138.49475,-332657.75
0.726,-102.1217,-186802.06
0.728,-80.67863,-120491.53
0.73,-66.53295,-84719.59
0.732,-56.49814,-63173.438
0.73399997,-49.00616,-49151.062
0.736,-43.196903,-39485.875
0.73800004,-38.558537,-32520.969
0.74,-34.768124,-27321.406
0.742,-31.610847,-23324.969
0.744,-28.938683,-20177.719
0.746,-26.646925,-17648.219
0.748,-24.658575,-15578.969
0.75,-22.916147,-13860.031
0.752,-21.375523,-12412.6875
0.754,-20.002895,-11179.594
0.75600004,-18.771399,-10117.969
0.758,-17.659435,-9195.0
0.76,-16.6499,-8386.031
0.76199996,-15.728559,-7671.5938
0.764,-14.883469,-7035.9688
0.76600003,-14.104978,-6467.0
0.768,-13.38526,-5955.0312
0.77,-12.716875,-5491.75
0.772,-12.094285,-5070.6875
0.774,-11.51234,-4686.25
0.776,-10.966731,-4334.0938
0.778,-10.453541,-4010.125
0.78,-9.96943,-3711.375
0.782,-9.511587,-3434.875
0.78400004,-9.077684,-3178.5625
0.786,-8.665327,-2940.1875
0.788,-8.272361,-2718.3438
0.78999996,-7.8972282,-2511.125
0.792,-7.538186,-2317.625
0.794,-7.19394,-2136.4688
0.796,-6.863165,-1966.8438
0.798,-6.5445714,-1807.8125
0.8,-6.237304,-1658.5312
0.802,-5.9402976,-1518.4688
0.804,-5.652676,-1386.9688
0.806,-5.3736033,-1263.4688
0.80799997,-5.102312,-1147.625
0.81,-4.83825,-1038.8125
0.81200004,-4.5808196,-936.875
0.814,-4.329217,-841.40625
0.816,-4.083123,-752.0625
0.81799996,-3.841782,-668.65625
0.82,-3.6049788,-590.96875
0.822,-3.3720171,-518.65625
0.824,-3.1427317,-451.65625
0.826,-2.916593,-389.6875
0.828,-2.6931555,-332.75
0.83000004,-2.4721456,-280.59375
0.832,-2.2531962,-233.125
0.834,-2.0359318,-190.40625
0.83599997,-1.8201406,-151.9375
0.838,-1.6054,-118.09375
0.84000003,-1.3914506,-88.5
0.842,-1.1779944,-63.21875
0.844,-0.9646969,-42.34375
0.84599996,-0.751375,-25.5
0.848,-0.5377238,-12.9375
0.85,-0.32333374,-4.6875
0.852,-0.10805438,-0.5625
0.854,0.108395,-0.46875
0.856,0.32639688,-4.71875
0.85800004,0.54609436,-13.15625
0.86,0.76783,-25.6875
0.862,0.9919675,-42.625
0.86399996,1.21868,-63.78125
0.866,1.4482775,-89.21875
0.86800003,1.6811438,-119.125
0.87,1.9175588,-153.59375
0.872,2.1578555,-192.53125
0.874,2.4023612,-236.1875
0.876,2.6514444,-284.5
0.878,2.9054644,-337.65625
0.88,3.164735,-395.9375
0.88199997,3.429835,-459.375
0.884,3.7010324,-527.96875
0.88600004,3.9787881,-602.15625
0.888,4.2635407,-681.96875
0.89,4.5559006,-767.65625
0.89199996,4.8562894,-859.4375
0.894,5.1652274,-957.53125
0.896,5.4834857,-1062.4062
0.898,5.811529,-1174.1875
0.9,6.150067,-1293.3125
0.902,6.49982,-1420.0625
0.90400004,6.8616037,-1554.9688
0.906,7.236187,-1698.375
0.908,7.6245027,-1850.875
0.90999997,8.027508,-2013.0312
0.912,8.4463415,-2185.5938
0.91400003,8.881989,-2369.1875
0.916,9.335762,-2564.4688
0.918,9.808973,-2772.3438
0.91999996,10.30312,-2994.0
0.922,10.819905,-3230.4688
0.924,11.360895,-3482.9062
0.926,11.92809,-3752.6562
0.928,12.523712,-4041.5312
0.93,13.150163,-4351.3125
0.93200004,13.8099,-4683.9375
0.934,14.505938,-5041.9062
0.936,15.241447,-5427.7188
0.93799996,16.020283,-5844.8125
0.94,16.846416,-6296.6562
0.94200003,17.724373,-6787.1875
0.944,18.659397,-7321.625
0.946,19.657515,-7905.6562
0.948,20.725325,-8545.8125
0.95,21.870707,-9250.531
0.952,23.1025,-10028.906
0.954,24.431025,-10892.719
0.956,25.868273,-11855.625
0.958,27.428425,-12934.625
0.96000004,29.12797,-14150.625
0.962,30.986485,-15528.6875
0.964,33.027725,-17101.688
0.96599996,35.279907,-18909.75
0.968,37.77786,-21004.719
0.97,40.56402,-23454.031
0.972,43.69133,-26345.688
0.974,47.22689,-29798.188
0.976,51.25586,-33971.125
0.978,55.889366,-39086.97
0.98,61.274647,-45461.53
0.982,67.61044,-53554.78
0.98399997,75.17229,-64058.78
0.986,84.35471,-78055.34
0.98800004,95.74024,-97308.375
0.99,110.22745,-124855.31
0.992,129.28531,-166307.84
0.99399996,155.47726,-232965.81
0.996,193.73312,-350513.88
0.998,254.86926,-588177.9
1.0,368.16095,-1190711.2
1.002,649.953,-3603126.8
1.004,2565.8347,-5.4567484E7
1.006,-1367.2782,-1.5072212E7
1.008,-547.80634,-2356050.5
1.01,-345.6024,-914290.4
1.0120001,-254.046,-482328.9
1.0139999,-201.8368,-297680.72
1.016,-168.09364,-202199.38
1.018,-144.49847,-146582.38
1.02,-127.07197,-111412.09
1.0220001,-113.67646,-87801.16
1.0239999,-103.06012,-71212.91
1.026,-94.43916,-59133.156
1.028,-87.30204,-50082.97
1.03,-81.29562,-43140.03
1.0320001,-76.171715,-37709.438
1.0339999,-71.750305,-33392.906
1.036,-67.89628,-29913.562
1.038,-64.50786,-27077.0
1.04,-61.50558,-24741.156
1.042,-58.827744,-22801.719
1.044,-56.424755,-21180.312
1.046,-54.25686,-19816.688
1.048,-52.29117,-18664.469
1.05,-50.50121,-17687.406
1.052,-48.86484,-16856.469
1.054,-47.36321,-16148.75
1.056,-45.9805,-15545.5625
1.0580001,-44.70354,-15031.656
1.06,-43.520844,-14594.625
1.062,-42.42243,-14223.969
1.064,-41.40002,-13911.0625
1.066,-40.44615,-13648.781
1.0680001,-39.554108,-13431.0625
1.0699999,-38.718513,-13252.594
1.072,-37.934315,-13109.0625
1.074,-37.19694,-12996.469
1.076,-36.502533,-12911.969
1.0780001,-35.847614,-12852.281
1.0799999,-35.229015,-12815.281
1.082,-34.644096,-12798.594
1.084,-34.089977,-12800.594
1.086,-33.564674,-12819.4375
1.088,-33.06619,-12853.5625
1.0899999,-32.59247,-12902.094
1.092,-32.14184,-12963.719
1.094,-31.712833,-13037.406
1.096,-31.30403,-13122.219
1.098,-30.91414,-13217.469
1.1,-30.541895,-13322.281
1.102,-30.186398,-13436.031
1.104,-29.846405,-13558.5
1.106,-29.521364,-13688.5
1.108,-29.210072,-13826.1875
1.11,-28.911787,-13970.875
1.112,-28.62601,-14122.156
1.1140001,-28.351927,-14279.781
1.1159999,-28.088907,-14443.25
1.118,-27.83643,-14612.5
1.12,-27.593855,-14787.375
1.122,-27.360865,-14966.9375
1.1240001,-27.136786,-15151.625
1.1259999,-26.921322,-15341.156
1.128,-26.71399,-15535.1875
1.13,-26.51447,-15733.594
1.132,-26.322266,-15936.281
1.1340001,-26.137335,-16142.75
1.1359999,-25.958933,-16353.406
1.138,-25.78714,-16567.844
1.14,-25.62143,-16785.812
1.142,-25.46181,-17007.312
1.144,-25.30775,-17232.562
1.146,-25.159203,-17461.062
1.148,-25.015755,-17692.938
1.15,-24.877335,-17928.0
1.152,-24.74381,-18166.125
1.154,-24.614967,-18407.062
1.156,-24.490456,-18651.562
1.158,-24.370195,-18898.938
1.1600001,-24.254126,-19148.938
1.162,-24.141943,-19401.938
1.164,-24.03368,-19657.5
1.166,-23.929,-19916.125
1.168,-23.827925,-20177.25
1.1700001,-23.730326,-20440.938
1.1719999,-23.635878,-20707.688
1.174,-23.54482,-20976.438
1.176,-23.456713,-21248.188
1.178,-23.37161,-21522.438
1.1800001,-23.289536,-21798.875
1.1819999,-23.2102,-22077.875
1.184,-23.13355,-22359.188
1.186,-23.059525,-22643.188
1.188,-22.988005,-22929.5
1.19,-22.91899,-23218.125
1.1919999,-22.852465,-23508.875
1.194,-22.788115,-23802.188
1.196,-22.72608,-24097.625
1.198,-22.666222,-24395.562
1.2,-22.608433,-24695.625
1.202,-22.55284,-24997.812
1.204,-22.499197,-25302.25
1.206,-22.447432,-25609.0
1.208,-22.397612,-25918.0
1.21,-22.349606,-26229.0
1.212,-22.303387,-26542.312
1.214,-22.25899,-26857.625
1.2160001,-22.21617,-27175.312
1.2179999,-22.175152,-27494.75
1.22,-22.135695,-27816.688
1.222,-22.097795,-28140.625
1.224,-22.06135,-28466.688
1.2260001,-22.02642,-28794.875
1.2279999,-21.99296,-29125.125
1.23,-21.961025,-29457.188
1.232,-21.930426,-29791.5
1.234,-21.901094,-30128.062
1.2360001,-21.873165,-30466.562
1.2379999,-21.846516,-30806.75
1.24,-21.821144,-31149.438
1.242,-21.797,-31493.875
1.244,-21.773994,-31840.5
1.246,-21.75222,-32189.375
1.248,-21.73153,-32539.938
1.25,-21.712038,-32892.438
1.252,-21.69363,-33247.188
1.254,-21.67628,-33603.938
1.256,-21.660034,-33962.188
1.258,-21.64481,-34322.938
1.26,-21.630562,-34685.625
1.2620001,-21.617334,-35050.312
1.2639999,-21.605024,-35416.562
1.266,-21.593756,-35785.312
1.268,-21.583332,-36155.812
1.27,-21.57378,-36528.312
1.2720001,-21.565325,-36902.688
1.2739999,-21.557573,-37278.938
1.276,-21.55075,-37657.312
1.278,-21.54472,-38037.688
1.28,-21.53948,-38420.062
1.2820001,-21.535255,-38803.938
1.2839999,-21.531742,-39190.062
1.286,-21.52895,-39578.188
1.288,-21.52692,-39968.0
1.29,-21.525623,-40360.125
1.292,-21.525103,-40754.0
1.294,-21.525375,-41149.812
1.296,-21.526403,-41547.375
1.298,-21.527752,-41947.312
1.3,-21.530155,-42348.812
1.302,-21.533255,-42752.062
1.304,-21.5369,-43157.75
1.306,-21.541313,-43564.812
1.3080001,-21.54622,-43974.25
1.31,-21.55182,-44385.312
1.312,-21.558155,-44798.25
1.314,-21.564976,-45213.312
1.316,-21.572462,-45630.25
1.3180001,-21.580513,-46048.812
1.3199999,-21.589146,-46469.688
1.322,-21.59841,-46892.312
1.324,-21.608166,-47317.062
1.326,-21.61851,-47743.375
1.3280001,-21.629412,-48171.562
1.3299999,-21.640852,-48601.938
1.332,-21.652895,-49033.938
1.334,-21.665445,-49467.75
1.336,-21.678555,-49903.438
1.338,-21.692032,-50341.562
1.3399999,-21.70608,-50781.125
1.342,-21.72072,-51222.812
1.344,-21.73572,-51666.375
1.346,-21.751215,-52111.625
1.348,-21.7673,-52558.812
1.35,-21.783825,-53007.75
1.352,-21.80068,-53459.0
1.354,-21.81817,-53911.75
1.356,-21.836004,-54366.562
1.358,-21.854385,-54823.062
1.36,-21.873165,-55281.75
1.362,-21.892315,-55742.312
1.3640001,-21.91194,-56204.438
1.3659999,-21.932,-56668.625
1.368,-21.952492,-57134.625
1.37,-21.97333,-57602.875
1.372,-21.994705,-58072.5
1.3740001,-22.016375,-58544.375
1.3759999,-22.038507,-59017.688
1.378,-22.06089,-59493.625
1.38,-22.083864,-59971.0
1.382,-22.10708,-60450.125
1.3840001,-22.130816,-60931.125
1.3859999,-22.154898,-61413.938
1.388,-22.17931,-61898.938
1.39,-22.204075,-62385.312
1.392,-22.229218,-62873.938
1.394,-22.25471,-63364.375
1.396,-22.280485,-63857.188
1.398,-22.306822,-64351.0
1.4,-22.333445,-64847.125
1.402,-22.360273,-65344.938
1.404,-22.387554,-65844.94
1.406,-22.415155,-66346.69
1.408,-22.443035,-66850.31
1.4100001,-22.471294,-67355.625
1.412,-22.49994,-67862.94
1.414,-22.528835,-68372.125
1.416,-22.558037,-68883.19
1.418,-22.58766,-69395.69
1.4200001,-22.61744,-69911.0
1.4219999,-22.647764,-70427.125
1.424,-22.678144,-70946.0
1.426,-22.708925,-71466.44
1.428,-22.74009,-71988.19
1.4300001,-22.771513,-72512.25
1.4319999,-22.80319,-73038.25
1.434,-22.835146,-73566.5
1.436,-22.86747,-74095.875
1.438,-22.900055,-74627.44
1.44,-22.93288,-75161.125
1.4419999,-22.966076,-75696.125
1.444,-22.999472,-76233.19
1.446,-23.033243,-76772.125
1.448,-23.067142,-77313.31
1.45,-23.101458,-77855.5
1.452,-23.13597,-78400.5
1.454,-23.17079,-78946.75
1.456,-23.205858,-79494.81
1.458,-23.241196,-80045.44
1.46,-23.276815,-80597.375
1.462,-23.312765,-81151.06
1.464,-23.34878,-81706.75
1.4660001,-23.38517,-82264.56
1.4679999,-23.42184,-82823.875
1.47,-23.458725,-83385.25
1.472,-23.495922,-83948.625
1.474,-23.533285,-84513.5
1.4760001,-23.570942,-85080.125
1.4779999,-23.60885,-85649.125
1.48,-23.646955,-86219.75
1.482,-23.685225,-86792.625
1.484,-23.723917,-87366.375
1.4860001,-23.762753,-87942.625
1.4879999,-23.80187,-88520.75
1.49,-23.841148,-89100.875
1.492,-23.880695,-89682.5
1.494,-23.920546,-90265.875
1.496,-23.96059,-90851.375
1.498,-24.00085,-91438.625
