b,MixedProduct,DotProduct,SideLength
0.5,2.1683366,-127212.83,-71789.69
0.5025,2.1726387,-126741,-71246.72
0.505,2.1768825,-126269.17,-70705.84
0.5075,2.18108,-125797.484,-70167.19
0.51,2.1852312,-125325.75,-69630.44
0.5125,2.1893325,-124853.945,-69095.69
0.515,2.1933866,-124382.25,-68563.06
0.5175,2.1973882,-123910.484,-68032.44
0.52,2.201351,-123438.695,-67503.81
0.5225,2.2052624,-122966.89,-66977.234
0.525,2.2091243,-122495.266,-66452.92
0.5275,2.2129426,-122023.516,-65930.484
0.53,2.2167168,-121551.875,-65410.188
0.5325,2.2204587,-121080.07,-64891.72
0.535,2.224135,-120608.39,-64375.58
0.5375,2.2277844,-120136.72,-63861.36
0.54,2.2313888,-119665.016,-63349.188
0.5425,2.2349496,-119193.3,-62839.03
0.545,2.2384744,-118721.64,-62330.953
0.5475,2.241954,-118250.016,-61825
0.55,2.2453976,-117778.33,-61321.016
0.5525,2.2488046,-117306.625,-60819
0.555,2.25217,-116835.03,-60319.22
0.5575,2.2554924,-116363.34,-59821.375
0.56,2.2587883,-115891.68,-59325.547
0.5625,2.2620466,-115420.06,-58831.86
0.565,2.2652738,-114948.29,-58339.97
0.5675,2.268459,-114476.766,-57850.484
0.57,2.2716224,-114005.06,-57362.766
0.5725,2.2747502,-113533.34,-56877.047
0.575,2.2778366,-113061.84,-56393.812
0.5775,2.280911,-112590.086,-55912.125
0.58,2.2839441,-112118.42,-55432.625
0.5825,2.2869604,-111646.76,-54955.188
0.585,2.2899334,-111175.22,-54480.016
0.5875,2.2928941,-110703.47,-54006.516
0.59000003,2.295828,-110231.805,-53535.25
0.5925,2.2987413,-109760.125,-53065.938
0.595,2.301625,-109288.45,-52598.72
0.59749997,2.3044941,-108816.74,-52133.53
0.6,2.307343,-108345.06,-51670.36
0.6025,2.3101678,-107873.35,-51209.234
0.605,2.312987,-107401.61,-50750.08
0.6075,2.3157835,-106929.94,-50293.11
0.61,2.3185637,-106458.22,-49838.11
0.6125,2.3213384,-105986.5,-49385.125
0.615,2.3240917,-105514.8,-48934.28
0.6175,2.3268409,-105043.03,-48485.36
0.62,2.3295863,-104571.22,-48038.438
0.6225,2.3323221,-104099.484,-47593.625
0.625,2.3350644,-103627.61,-47150.688
0.6275,2.3377817,-103155.84,-46710.03
0.63,2.3405173,-102683.92,-46271.14
0.6325,2.343239,-102212.19,-45834.58
0.635,2.34597,-101740.29,-45399.875
0.6375,2.3487134,-101268.35,-44967.156
0.64,2.351447,-100796.484,-44536.61
0.6425,2.3542075,-100324.44,-44107.86
0.645,2.3569777,-99852.47,-43681.234
0.6475,2.3597503,-99380.47,-43256.72
0.65,2.3625388,-98908.445,-42834.188
0.65250003,2.3653524,-98436.34,-42413.656
0.655,2.368192,-97964.2,-41995.08
0.6575,2.3710444,-97492.016,-41578.58
0.65999997,2.373923,-97019.89,-41164.22
0.6625,2.3768387,-96547.53,-40751.61
0.665,2.3797843,-96075.25,-40341.17
0.6675,2.3827643,-95602.85,-39932.688
0.67,2.3857756,-95130.516,-39526.344
0.6725,2.388833,-94658.02,-39121.89
0.675,2.3919368,-94185.55,-38719.5
0.6775,2.3950863,-93712.984,-38319.125
0.68,2.3982837,-93240.33,-37920.758
0.6825,2.4015355,-92767.66,-37524.42
0.685,2.404852,-92294.875,-37130.08
0.6875,2.4082282,-91822,-36737.72
0.69,2.4116793,-91349.016,-36347.266
0.6925,2.4151812,-90876.02,-35958.984
0.695,2.4187856,-90402.85,-35572.53
0.6975,2.4224494,-89929.69,-35188.25
0.7,2.42621,-89456.32,-34805.805
0.7025,2.43005,-88982.95,-34425.523
0.705,2.4339943,-88509.3,-34047
0.7075,2.4380274,-88035.69,-33670.688
0.71,2.442183,-87561.875,-33296.234
0.7125,2.4464462,-87087.92,-32923.773
0.71500003,2.45082,-86613.875,-32553.36
0.7175,2.4553256,-86139.59,-32184.82
0.72,2.459965,-85665.16,-31818.258
0.72249997,2.4647324,-85190.734,-31453.844
0.725,2.469655,-84715.84,-31091.14
0.7275,2.4747212,-84241.016,-30730.648
0.73,2.4799588,-83765.8,-30371.922
0.7325,2.4853568,-83290.516,-30015.29
0.735,2.4909425,-82814.89,-29660.5
0.7375,2.4967012,-82339.08,-29307.727
0.74,2.5026524,-81863.14,-28957.055
0.7425,2.508825,-81386.84,-28608.156
0.745,2.515195,-80910.3,-28261.32
0.7475,2.5218236,-80433.36,-27916.203
0.75,2.52866,-79956.19,-27573.21
0.7525,2.5357518,-79478.72,-27232.14
0.755,2.5431194,-79000.84,-26892.898
0.7575,2.550753,-78522.61,-26555.617
0.76,2.5586789,-78043.97,-26220.227
0.7625,2.566898,-77564.97,-25886.844
0.765,2.5754468,-77085.48,-25555.25
0.76750004,2.5843225,-76605.61,-25225.688
0.77,2.5935462,-76125.26,-24898.016
0.77250004,2.6031468,-75644.31,-24572.148
0.775,2.6131163,-75162.89,-24248.273
0.77750003,2.6235137,-74680.79,-23926.14
0.78,2.6343355,-74198.12,-23605.906
0.7825,2.645592,-73714.78,-23287.602
0.78499997,2.65732,-73230.84,-22971.219
0.7875,2.66955,-72746.02,-22656.547
0.78999996,2.6823082,-72260.45,-22343.734
0.7925,2.695607,-71774.08,-22032.82
0.79499996,2.70947,-71286.914,-21723.86
0.7975,2.723953,-70798.63,-21416.54
0.8,2.7390811,-70309.39,-21111.047
0.8025,2.7548587,-69819.17,-20807.523
0.805,2.7713745,-69327.66,-20505.578
0.8075,2.7886238,-68834.98,-20205.531
0.81,2.80665,-68341.04,-19907.336
0.8125,2.8255374,-67845.63,-19610.758
0.815,2.8452857,-67348.734,-19316.012
0.8175,2.8659563,-66850.31,-19023.086
0.82,2.887637,-66350.02,-18731.719
0.8225,2.9103255,-65848.016,-18442.242
0.825,2.9341311,-65344.008,-18154.418
0.8275,2.959097,-64837.867,-17868.281
0.83000004,2.985277,-64329.562,-17584
0.8325,3.0127876,-63818.773,-17301.309
0.83500004,3.04168,-63305.332,-17020.285
0.8375,3.0720394,-62789.086,-16740.977
0.84000003,3.1039689,-62269.81,-16463.324
0.8425,3.1375725,-61747.215,-16187.293
0.845,3.1729362,-61221.133,-15912.977
0.84749997,3.2102032,-60691.14,-15640.242
0.85,3.2494874,-60157.03,-15369.176
0.85249996,3.2909188,-59618.5,-15099.805
0.855,3.3346593,-59074.938,-14831.984
0.85749996,3.3808706,-58526.18,-14565.867
0.86,3.4297113,-57971.605,-14301.383
0.8625,3.4813862,-57410.81,-14038.605
0.865,3.53609,-56843.234,-13777.602
0.8675,3.594055,-56268.14,-13518.301
0.87,3.6555388,-55684.945,-13260.82
0.8725,3.720825,-55092.75,-13005.102
0.875,3.7902026,-54490.727,-12751.285
0.8775,3.864,-53878,-12499.508
0.88,3.9426112,-53253.305,-12249.742
0.8825,4.0263886,-52615.65,-12002.32
0.885,4.1158314,-51963.465,-11757.238
0.8875,4.2114377,-51295.258,-11514.746
0.89,4.313745,-50609.35,-11275.172
0.89250004,4.4233937,-49903.64,-11038.766
0.895,4.541065,-49175.945,-10805.969
0.89750004,4.6675563,-48423.67,-10577.281
0.9,4.803754,-47643.883,-10353.289
0.90250003,4.950679,-46833.03,-10134.699
0.905,5.1094213,-45987.46,-9922.57
0.9075,5.281305,-45102.42,-9717.992
0.90999997,5.467814,-44172.74,-9522.434
0.9125,5.6706424,-43192.227,-9337.758
0.91499996,5.8917174,-42153.832,-9166.297
0.9175,6.133366,-41048.78,-9010.859
0.91999996,6.3981476,-39867.383,-8875.291
0.9225,6.6891923,-38597.496,-8764.283
0.925,7.010055,-37225.117,-8684.01
0.9275,7.3650813,-35732.82,-8642.25
0.93,7.759299,-34100.082,-8649.426
0.9325,8.19885,-32301.281,-8718.969
0.935,8.691066,-30305.469,-8868.912
0.9375,9.244892,-28073.963,-9123.295
0.94,9.871347,-25558.314,-9514.6875
0.9425,10.584047,-22697.484,-10087.768
0.945,11.400065,-19413.52,-10904.615
0.9475,12.341071,-15605.412,-12052.791
0.95,13.434914,-11140.882,-13657.9375
0.9525,14.717933,-5843.9307,-15903.9
0.95500004,16.238436,524.0449,-19065.549
0.9575,18.061548,8291.281,-23563.812
0.96000004,20.277864,17923.035,-30063.887
0.9625,23.01566,30091.371,-39650.34
0.96500003,26.463736,45803.797,-54169.11
0.9675,30.909018,66620.664,-76912.24
0.97,36.810764,95082.92,-114127.84
0.97249997,44.94709,135568.33,-178608.47
0.975,56.746986,196237.84,-299359.28
0.97749996,75.13252,294001.62,-552012.4
0.98,107.13757,470003.88,-1179999.9
0.98249996,174.90932,854825.9,-3301338.2
0.985,402.77515,2184960,-1.83E+07
0.9875,-2888.0288,-1.74E+07,-9.85E+08
0.99,-364.06683,-2430902,-1.63E+07
0.9925,-212.97318,-1585544.4,-5796237
0.995,-162.10156,-1356186.8,-3476223.2
0.9975,-139.97742,-1332713.2,-2674560
1,-131.629,-1454111.2,-2432229.5
1.0025,-133.2487,-1760044.5,-2554870
1.005,-146.12656,-2422766,-3139412
1.0074999,-178.91554,-4059511,-4793829
1.01,-268.94717,-1.01E+07,-1.10E+07
1.0125,-829.12335,-1.03E+08,-1.06E+08
1.015,507.19803,-4.13E+07,-4.00E+07
1.0174999,171.2261,-4986175.5,-4594380
1.02,95.91542,-1644488.8,-1449113
1.0225,63.47182,-753196.3,-636552.6
1.025,45.75566,-408209.9,-331225.4
1.0274999,34.775898,-245717.17,-191284.95
1.03,27.40663,-159217.22,-118624.86
1.0325,22.181492,-109150.914,-77511.58
1.0350001,18.322954,-78338.984,-52724.566
1.0375,15.383517,-58469.016,-37036.453
1.04,13.0874,-45167.016,-26713.352
1.0425,11.2569275,-35986,-19702.564
1.0450001,9.772491,-29482.934,-14813.771
1.0475,8.551219,-24772.031,-11327.777
1.05,7.5336337,-21288.738,-8793.055
1.0525,6.676425,-18663.926,-6918.4434
1.0550001,5.9472713,-16649.629,-5510.865
1.0575,5.321727,-15075.925,-4439.6074
1.06,4.7807794,-13823.67,-3613.8965
1.0625,4.3096943,-12808.409,-2970.0918
1.065,3.8967922,-11969.276,-2462.6484
1.0675,3.5327666,-11261.852,-2058.6406
1.0699999,3.2100284,-10653.306,-1733.709
1.0725,2.922415,-10119.168,-1469.8555
1.075,2.6649125,-9641.086,-1253.6719
1.0775,2.4333456,-9205.195,-1074.9492
1.0799999,2.2242281,-8800.875,-925.89844
1.0825,2.034614,-8419.987,-800.5156
1.085,1.8620303,-8056.3013,-694.1367
1.0875,1.7044097,-7705.0044,-603.1953
1.0899999,1.5599546,-7362.351,-524.8594
1.0925,1.4271084,-7025.438,-456.85547
1.095,1.3045813,-6692.0205,-397.48047
1.0975001,1.1912093,-6360.3525,-345.29688
1.1,1.0860686,-6029.1177,-299.29688
1.1025,0.9882236,-5697.253,-258.48828
1.105,0.89691466,-5363.9824,-222.11719
1.1075001,0.811503,-5028.668,-189.69531
1.11,0.73143905,-4690.909,-160.80078
1.1125,0.6561695,-4350.3564,-135.0039
1.115,0.5852204,-4006.747,-111.95703
1.1175001,0.51820236,-3659.9443,-91.46094
1.12,0.4547807,-3309.8833,-73.39453
1.1225,0.39460525,-2956.4614,-57.523438
1.125,0.3373849,-2599.6743,-43.71875
1.1275,0.28287736,-2239.5205,-31.929688
1.13,0.23086672,-1876.0327,-22.117188
1.1324999,0.18113059,-1509.3014,-14.203125
1.135,0.13342047,-1139.3308,-7.953125
1.1375,0.08764297,-766.2446,-3.5585938
1.14,0.043612853,-390.0916,-0.91015625
1.1424999,0.001209844,-10.986694,-0.0234375
1.145,-0.03972039,371.04565,-0.8359375
1.1475,-0.07929,755.8595,-3.3398438
1.15,-0.11759836,1143.3774,-7.53125
1.1524999,-0.1547204,1533.5095,-13.511719
1.155,-0.19078828,1926.1958,-21.121094
1.1575,-0.22583282,2321.3005,-30.523438
1.1600001,-0.26001188,2718.7935,-41.472656
1.1625,-0.29325953,3118.539,-54.375
1.165,-0.32578844,3520.4697,-68.78125
1.1675,-0.3575125,3924.5354,-85.15625
1.1700001,-0.38864344,4330.632,-103
1.1725,-0.41909188,4738.6797,-122.75
1.175,-0.44894907,5148.6143,-144.27734
1.1775,-0.4782658,5560.389,-167.57422
1.1800001,-0.507102,5973.945,-192.59375
1.1825,-0.53543764,6389.1294,-219.46484
1.185,-0.56334716,6805.987,-248.10938
1.1875,-0.5908747,7224.417,-278.51562
1.19,-0.61798877,7644.3545,-310.83594
1.1925,-0.64478564,8065.7505,-344.875
1.1949999,-0.67125314,8488.555,-380.79688
1.1975,-0.6974403,8912.752,-418.48438
1.2,-0.7233047,9338.225,-458.15625
1.2025,-0.7489375,9764.948,-499.57812
1.2049999,-0.77430314,10192.905,-542.97656
1.2075,-0.7994725,10622.061,-588.15625
1.21,-0.8244191,11052.385,-635.28906
1.2125,-0.849195,11483.717,-684.2031
1.2149999,-0.8737931,11916.161,-735.02344
1.2175,-0.8982359,12349.625,-787.75
1.22,-0.9224978,12784.08,-842.4922
1.2225001,-0.9466353,13219.524,-899.1094
1.225,-0.9706591,13655.834,-957.53125
1.2275,-0.994585,14093.062,-1017.84375
1.23,-1.0183635,14531.152,-1080.2266
1.2325001,-1.0420519,14970.13,-1144.5938
1.235,-1.0656881,15409.857,-1210.6641
1.2375,-1.0892237,15850.357,-1278.7891
1.24,-1.1126994,16291.689,-1348.8281
1.2425001,-1.1360837,16733.71,-1420.9062
1.245,-1.1594443,17176.432,-1494.8047
1.2475,-1.1827347,17619.85,-1570.7422
1.25,-1.2059816,18063.96,-1648.6641
1.2525,-1.2291738,18508.71,-1728.6094
1.255,-1.2523704,18954.098,-1810.3203
1.2574999,-1.2755144,19400.074,-1894.1719
1.26,-1.2986335,19846.67,-1980.0156
1.2625,-1.3217666,20293.809,-2067.625
1.265,-1.3448318,20741.541,-2157.5156
1.2674999,-1.3679459,21189.771,-2249.0625
1.27,-1.3910031,21638.578,-2342.9219
1.2725,-1.4141078,22087.848,-2438.5078
1.275,-1.4372057,22537.61,-2536.0625
1.2774999,-1.4602712,22987.902,-2635.9062
1.28,-1.483394,23438.65,-2737.4297
1.2825,-1.5065022,23889.812,-2841.125
1.2850001,-1.5296457,24341.473,-2946.6953
1.2875,-1.5527943,24793.555,-3054.3438
1.29,-1.5759431,25246.033,-3164.1016
1.2925,-1.5991412,25698.904,-3275.6875
1.2950001,-1.6223912,26152.209,-3389.1484
1.2975,-1.6455925,26605.863,-3505.0781
1.3,-1.6688806,27059.914,-3622.7266
1.3025,-1.6921962,27514.348,-3742.3828
1.3050001,-1.7155375,27969.11,-3864.0781
1.3075,-1.7389007,28424.205,-3987.8281
1.31,-1.762315,28879.662,-4113.6094
1.3125,-1.7857682,29335.443,-4241.328
1.315,-1.8092575,29791.57,-4371.2188
1.3175,-1.8327981,30247.973,-4503
1.3199999,-1.8563706,30704.684,-4636.8594
1.3225,-1.8800125,31161.72,-4772.625
1.325,-1.9036769,31619.02,-4910.5
1.3275,-1.9274169,32076.602,-5050.3125
1.3299999,-1.9511713,32534.475,-5192.375
1.3325,-1.9750118,32992.625,-5336.2188
1.335,-1.99887,33451.03,-5482.3438
1.3375,-2.0228012,33909.656,-5630.2656
1.3399999,-2.0467887,34368.547,-5780.25
1.3425,-2.0708232,34827.75,-5932.375
1.345,-2.094928,35287.14,-6086.375
1.3475001,-2.1190886,35746.848,-6242.5312
1.35,-2.1432843,36206.652,-6400.7188
1.3525,-2.1675544,36666.72,-6560.8906
1.355,-2.191872,37127,-6723.203
1.3575001,-2.216275,37587.508,-6887.3438
1.36,-2.2407374,38048.266,-7053.578
1.3625,-2.2652168,38509.105,-7222.125
1.365,-2.2898245,38970.293,-7392.203
1.3675001,-2.314423,39431.598,-7564.9062
1.37,-2.3391395,39893.1,-7739.297
1.3725,-2.3639169,40354.78,-7915.625
1.375,-2.3887355,40816.66,-8094.25
1.3775,-2.413607,41278.67,-8274.922
1.38,-2.4385624,41740.93,-8457.641
1.3824999,-2.4635632,42203.305,-8642.4375
1.385,-2.4886913,42665.9,-8828.875
1.3875,-2.5138245,43128.58,-9017.8125
1.39,-2.5390837,43591.496,-9208.406
1.3924999,-2.5643594,44054.5,-9401.328
1.395,-2.5897057,44517.734,-9596.297
1.3975,-2.6151512,44981.062,-9793.141
1.4,-2.640645,45444.535,-9992.125
1.4024999,-2.6662357,45908.137,-10193
1.405,-2.691865,46371.94,-10396.172
1.4075,-2.7175756,46835.906,-10601.328
1.4100001,-2.74334,47299.945,-10808.578
1.4125,-2.7692318,47764.117,-11017.484
1.415,-2.7951293,48228.438,-11228.953
1.4175,-2.82114,48692.906,-11442.125
1.4200001,-2.8472056,49157.508,-11657.516
1.4225,-2.8733456,49622.21,-11874.859
1.425,-2.8995275,50086.945,-12094.5
1.4275,-2.9258337,50551.984,-12315.906
1.4300001,-2.9522018,51016.992,-12539.4375
1.4325,-2.978612,51482.17,-12765.125
1.435,-3.0051262,51947.438,-12992.672
1.4375,-3.0316932,52412.816,-13222.453
1.44,-3.0583482,52878.35,-13454.25
1.4425,-3.0850663,53343.906,-13688.078
1.4449999,-3.1118913,53809.6,-13923.656
1.4475,-3.1387324,54275.43,-14161.875
1.45,-3.1656787,54741.344,-14401.844
1.4525,-3.1927044,55207.36,-14643.797
1.4549999,-3.2198238,55673.47,-14887.703
1.4575,-3.2469695,56139.598,-15133.969
1.46,-3.2742045,56605.9,-15382.234
1.4625,-3.3015575,57072.35,-15632.25
1.4649999,-3.3289406,57538.73,-15884.5625
1.4675,-3.3564162,58005.336,-16138.9375
1.47,-3.3839707,58471.992,-16395.312
1.4725001,-3.4115863,58938.78,-16653.812
1.475,-3.439297,59405.547,-16914.156
1.4775,-3.4670632,59872.438,-17176.812
1.48,-3.4948962,60339.426,-17441.594
1.4825001,-3.522838,60806.508,-17708.125
1.485,-3.5508463,61273.61,-17976.719
1.4875,-3.578935,61740.875,-18247.594
1.49,-3.607078,62208.15,-18520.344
1.4925001,-3.63535,62675.555,-18795.156
1.495,-3.6636162,63142.934,-19072.25
1.4975,-3.6920269,63610.477,-19351.094
,,,-0.0234375
